Datetime_UTC,Transmitter,Latitude,Longitude
5/3/2017 5:59,17778,38.33613,-74.76173
7/10/2017 3:59,17778,39.229293,-75.332771
7/10/2017 4:29,17778,39.229293,-75.332771
7/12/2017 6:29,17778,39.212654,-75.336403
11/17/2017 3:59,17778,36.8072,-75.7432
1/14/2018 22:29,17778,32.76843,-79.58897
1/14/2018 22:59,17778,32.76843,-79.58897
1/15/2018 4:29,17778,32.6563,-79.66708
2/12/2018 6:59,17778,32.1688,-80.5944
2/13/2018 4:29,17778,32.42915,-80.37865
2/13/2018 4:59,17778,32.42915,-80.37865
2/15/2018 5:59,17778,32.54288,-79.90762
2/16/2018 5:29,17778,32.63034,-79.62047
